,Name,Industry,paid_leave_weeks_woman,unpaid_leave_weeks_woman,paid_leave_weeks_man,unpaid_leave_weeks_man
736,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
737,ZestFinance,Finance: Loans,24.0,,,
738,World First,Services: Other,24.0,4.0,2.0,
739,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
740,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
741,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
742,Army (British),Government: Federal,39.0,13.0,2.0,
743,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
744,Zurich,Insurance: Life,29.0,,0.0,
745,Etsy,Technology: Consumer Internet,26.0,,26.0,
746,Spotify,Technology: Consumer Internet,26.0,,26.0,
747,Adobe Systems,Technology: Software,26.0,6.0,10.0,
748,AO.com,Retail: Online,26.0,,,
749,Morrison & Foerster LLP,Law Firm,26.0,,,
750,Organizer Inc.,Technology: Software,26.0,,,
751,Worldpay,Technology: Payments,26.0,,,
752,Zynga,Technology: Gaming,26.0,12.0,12.0,
753,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
754,72andsunny,Advertising,24.0,,4.0,
755,Motorola Mobility,Technology: Manufacturing,24.0,,,
756,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
757,ZestFinance,Finance: Loans,24.0,,,
758,World First,Services: Other,24.0,4.0,2.0,
759,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
760,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
761,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
762,Army (British),Government: Federal,39.0,13.0,2.0,
763,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
764,Zurich,Insurance: Life,29.0,,0.0,
765,Etsy,Technology: Consumer Internet,26.0,,26.0,
766,Spotify,Technology: Consumer Internet,26.0,,26.0,
767,Adobe Systems,Technology: Software,26.0,6.0,10.0,
768,AO.com,Retail: Online,26.0,,,
769,Morrison & Foerster LLP,Law Firm,26.0,,,
770,Organizer Inc.,Technology: Software,26.0,,,
771,Worldpay,Technology: Payments,26.0,,,
772,Zynga,Technology: Gaming,26.0,12.0,12.0,
773,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
774,72andsunny,Advertising,24.0,,4.0,
775,Motorola Mobility,Technology: Manufacturing,24.0,,,
776,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
777,ZestFinance,Finance: Loans,24.0,,,
778,World First,Services: Other,24.0,4.0,2.0,
779,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
780,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
781,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
